accommodation_id,pilgrim_id,room_type,check_in,check_out,guests,room_charge
A001,P030,Dormitory,2026-01-09,2026-01-19,1,5000
A002,P078,AC Room,2026-01-22,2026-01-25,3,5000
A003,P046,AC Room,2026-01-04,2026-01-23,2,5000
A004,P029,Dormitory,2026-01-20,2026-01-30,5,2000
A005,P082,Non AC,2026-01-21,2026-01-04,4,2000
A006,P025,VIP Suite,2026-01-04,2026-01-06,1,500
A007,P080,AC Room,2026-01-16,2026-01-05,1,1000
A008,P033,Non AC,2026-01-13,2026-01-16,3,5000
A009,P087,Non AC,2026-01-29,2026-01-15,1,5000
A010,P085,VIP Suite,2026-01-09,2026-01-03,3,1000
A011,P088,VIP Suite,2026-01-15,2026-01-09,3,500
A012,P018,AC Room,2026-01-18,2026-01-30,3,500
A013,P081,VIP Suite,2026-01-09,2026-01-08,1,5000
A014,P013,Dormitory,2026-01-22,2026-01-08,5,500
A015,P090,Dormitory,2026-01-26,2026-01-12,2,1000
A016,P083,Non AC,2026-01-03,2026-01-28,5,1000
A017,P006,Non AC,2026-01-27,2026-01-29,2,2000
A018,P040,Non AC,2026-01-26,2026-01-30,5,500
A019,P057,AC Room,2026-01-28,2026-01-06,2,2000
A020,P005,Non AC,2026-01-04,2026-01-23,1,1000
A021,P075,Dormitory,2026-01-12,2026-01-27,2,2000
A022,P047,Dormitory,2026-01-06,2026-01-10,1,1000
A023,P017,VIP Suite,2026-01-17,2026-01-05,1,5000
A024,P012,VIP Suite,2026-01-25,2026-01-13,5,500
A025,P038,VIP Suite,2026-01-17,2026-01-09,5,500
A026,P042,AC Room,2026-01-15,2026-01-22,1,500
A027,P054,VIP Suite,2026-01-28,2026-01-14,4,500
A028,P023,VIP Suite,2026-01-23,2026-01-31,4,500
A029,P026,Dormitory,2026-01-11,2026-01-21,2,500
A030,P099,Non AC,2026-01-09,2026-01-21,5,2000
A031,P070,VIP Suite,2026-01-20,2026-01-18,3,5000
A032,P079,VIP Suite,2026-01-04,2026-01-27,1,1000
A033,P068,VIP Suite,2026-01-15,2026-01-30,2,5000
A034,P065,AC Room,2026-01-27,2026-01-16,4,5000
A035,P035,Dormitory,2026-01-11,2026-01-15,3,2000
A036,P022,AC Room,2026-01-05,2026-01-23,4,500
A037,P093,Dormitory,2026-01-27,2026-01-04,1,5000
A038,P059,Dormitory,2026-01-24,2026-01-25,3,1000
A039,P053,Dormitory,2026-01-19,2026-01-19,5,2000
A040,P061,Dormitory,2026-01-14,2026-01-13,4,500
A041,P031,AC Room,2026-01-20,2026-01-11,3,500
A042,P052,Non AC,2026-01-05,2026-01-23,4,1000
A043,P019,Dormitory,2026-01-12,2026-01-29,5,2000
A044,P048,Dormitory,2026-01-25,2026-01-10,5,1000
A045,P056,VIP Suite,2026-01-28,2026-01-19,5,500
A046,P067,AC Room,2026-01-01,2026-01-07,3,2000
A047,P063,AC Room,2026-01-12,2026-01-02,2,1000
A048,P008,VIP Suite,2026-01-03,2026-01-06,1,500
A049,P100,Non AC,2026-01-13,2026-01-15,4,2000
A050,P086,Non AC,2026-01-12,2026-01-11,3,500
A051,P010,Dormitory,2026-01-05,2026-01-07,5,500
A052,P049,Dormitory,2026-01-09,2026-01-16,4,5000
A053,P015,VIP Suite,2026-01-14,2026-01-10,2,500
A054,P044,AC Room,2026-01-14,2026-01-05,3,5000
A055,P069,AC Room,2026-01-02,2026-01-09,4,500
A056,P072,Dormitory,2026-01-07,2026-01-11,2,1000
A057,P036,AC Room,2026-01-10,2026-01-12,1,500
A058,P024,VIP Suite,2026-01-24,2026-01-15,2,1000
A059,P084,VIP Suite,2026-01-18,2026-01-24,2,2000
A060,P045,Dormitory,2026-01-13,2026-01-29,1,5000
