booking_id,pilgrim_id,ticket_type,booking_date,darshan_date,slot,ticket_price,waiting_time_min,status
B001,P001,VIP Break Darshan,2026-01-02,2026-01-25,06:00,500,71,Confirmed
B002,P002,Free Darshan,2026-01-20,2026-01-05,09:00,0,141,Confirmed
B003,P003,VIP Break Darshan,2026-01-04,2026-01-19,09:00,500,199,Confirmed
B004,P004,₹300 Special Entry,2026-01-25,2026-01-12,09:00,300,175,Confirmed
B005,P005,VIP Break Darshan,2026-01-23,2026-01-04,09:00,500,47,Confirmed
B006,P006,VIP Break Darshan,2026-01-01,2026-01-30,12:00,500,193,Confirmed
B007,P007,₹300 Special Entry,2026-01-13,2026-01-31,09:00,300,171,Confirmed
B008,P008,VIP Break Darshan,2026-01-27,2026-01-21,09:00,0,198,Confirmed
B009,P009,₹300 Special Entry,2026-01-28,2026-01-22,06:00,300,220,Confirmed
B010,P010,Free Darshan,2026-01-12,2026-01-18,15:00,0,114,Confirmed
B011,P011,Free Darshan,2026-01-17,2026-01-21,12:00,0,237,Confirmed
B012,P012,₹300 Special Entry,2026-01-27,2026-01-16,06:00,300,112,Confirmed
B013,P013,VIP Break Darshan,2026-01-29,2026-01-27,15:00,500,59,Confirmed
B014,P014,₹300 Special Entry,2026-01-06,2026-01-24,12:00,300,226,Confirmed
B015,P015,VIP Break Darshan,2026-01-25,2026-01-16,15:00,500,231,Confirmed
B016,P016,VIP Break Darshan,2026-01-19,2026-01-09,12:00,500,232,Confirmed
B017,P017,Free Darshan,2026-01-09,2026-01-29,15:00,0,212,Confirmed
B018,P018,₹300 Special Entry,2026-01-19,2026-01-20,15:00,300,27,Confirmed
B019,P019,₹300 Special Entry,2026-01-28,2026-01-11,09:00,300,74,Confirmed
B020,P020,₹300 Special Entry,2026-01-26,2026-01-09,12:00,300,172,Confirmed
B021,P021,VIP Break Darshan,2026-01-29,2026-01-09,06:00,500,68,Confirmed
B022,P022,Free Darshan,2026-01-08,2026-01-24,15:00,0,162,Confirmed
B023,P023,Free Darshan,2026-01-23,2026-01-16,15:00,0,222,Confirmed
B024,P024,Free Darshan,2026-01-03,2026-01-10,09:00,0,197,Confirmed
B025,P025,Free Darshan,2026-01-10,2026-01-22,12:00,0,161,Confirmed
B026,P026,VIP Break Darshan,2026-01-12,2026-01-14,12:00,500,199,Confirmed
B027,P027,₹300 Special Entry,2026-01-09,2026-01-10,12:00,300,50,Confirmed
B028,P028,VIP Break Darshan,2026-01-07,2026-01-11,06:00,500,157,Confirmed
B029,P029,VIP Break Darshan,2026-01-06,2026-01-07,09:00,500,143,Confirmed
B030,P030,₹300 Special Entry,2026-01-24,2026-01-19,12:00,300,233,Confirmed
B031,P031,Free Darshan,2026-01-10,2026-01-08,12:00,0,97,Confirmed
B032,P032,Free Darshan,2026-01-23,2026-01-18,09:00,0,31,Confirmed
B033,P033,Free Darshan,2026-01-18,2026-01-10,09:00,0,212,Confirmed
B034,P034,₹300 Special Entry,2026-01-04,2026-01-28,06:00,300,92,Confirmed
B035,P035,₹300 Special Entry,2026-01-16,2026-01-15,12:00,300,33,Confirmed
B036,P036,₹300 Special Entry,2026-01-31,2026-01-28,15:00,300,230,Confirmed
B037,P037,Free Darshan,2026-01-13,2026-01-16,06:00,0,181,Confirmed
B038,P038,VIP Break Darshan,2026-01-02,2026-01-05,09:00,500,97,Confirmed
B039,P039,Free Darshan,2026-01-08,2026-01-04,15:00,0,172,Confirmed
B040,P040,VIP Break Darshan,2026-01-08,2026-01-25,15:00,500,133,Confirmed
B041,P041,₹300 Special Entry,2026-01-28,2026-01-19,15:00,300,165,Confirmed
B042,P042,VIP Break Darshan,2026-01-02,2026-01-20,06:00,500,180,Confirmed
B043,P043,Free Darshan,2026-01-09,2026-01-22,06:00,0,81,Confirmed
B044,P044,Free Darshan,2026-01-18,2026-01-03,09:00,0,124,Confirmed
