donation_id,pilgrim_id,amount,payment_method,donation_date
D001,P077,1000,Debit Card,2026-01-28
D002,P069,100,Debit Card,2026-01-09
D003,P003,100,Debit Card,2026-01-14
D004,P081,5000,Credit Card,2026-01-29
D005,P066,5000,Debit Card,2026-01-06
D006,P074,5000,Credit Card,2026-01-12
D007,P031,1000,UPI,2026-01-24
D008,P092,5000,UPI,2026-01-14
D009,P019,500,Net Banking,2026-01-10
D010,P038,1000,UPI,2026-01-03
D011,P055,1000,Debit Card,2026-01-10
D012,P001,5000,Net Banking,2026-01-23
D013,P079,5000,Cash,2026-01-23
D014,P046,5000,Debit Card,2026-01-15
D015,P094,100,Debit Card,2026-01-20
D016,P095,5000,Debit Card,2026-01-21
D017,P054,100,UPI,2026-01-22
D018,P024,5000,Debit Card,2026-01-17
D019,P011,500,UPI,2026-01-05
D020,P068,5000,UPI,2026-01-05
D021,P047,100,Cash,2026-01-25
D022,P009,1000,Debit Card,2026-01-13
D023,P097,100,Net Banking,2026-01-05
D024,P070,5000,Debit Card,2026-01-12
D025,P065,5000,UPI,2026-01-19
D026,P076,500,Net Banking,2026-01-12
D027,P071,5000,Debit Card,2026-01-21
D028,P098,1000,Cash,2026-01-31
D029,P050,100,UPI,2026-01-24
D030,P061,500,Credit Card,2026-01-17
D031,P006,5000,Net Banking,2026-01-04
D032,P072,1000,Debit Card,2026-01-23
D033,P048,5000,Cash,2026-01-20
D034,P033,1000,Credit Card,2026-01-07
D035,P073,100,Cash,2026-01-28
D036,P087,100,Credit Card,2026-01-06
D037,P088,5000,UPI,2026-01-26
D038,P023,10000,Debit Card,2026-01-23
D039,P016,100,Net Banking,2026-01-18
D040,P080,2000,Debit Card,2026-01-28
D041,P043,500,Cash,2026-01-26
D042,P041,100000,Net Banking,2026-01-08
D043,P007,100,Cash,2026-01-26
D044,P099,500,Cash,2026-01-26
D045,P091,5000,UPI,2026-01-12
D046,P078,100000,Credit Card,2026-01-26
D047,P049,50000,Net Banking,2026-01-29
D048,P022,100,UPI,2026-01-10
D049,P064,5000,Credit Card,2026-01-17
D050,P096,5000,Credit Card,2026-01-27
D051,P063,100,Cash,2026-01-11
D052,P035,100,Credit Card,2026-01-15
D053,P053,1000,Cash,2026-01-29
D054,P042,500,Cash,2026-01-14
D055,P012,100,UPI,2026-01-17
D056,P044,500,Debit Card,2026-01-06
D057,P030,500,Debit Card,2026-01-30
D058,P086,50000,Debit Card,2026-01-31
D059,P059,1000,UPI,2026-01-09
D060,P075,500,Net Banking,2026-01-09
D061,P052,500,Debit Card,2026-01-20
D062,P005,100,Net Banking,2026-01-21
D063,P045,500,Net Banking,2026-01-31
D064,P051,500,Cash,2026-01-22
D065,P093,1000,Net Banking,2026-01-02
D066,P013,100,UPI,2026-01-02
D067,P037,1000,Cash,2026-01-25
D068,P084,5000,Net Banking,2026-01-21
D069,P034,100,Credit Card,2026-01-29
D070,P082,1000,Debit Card,2026-01-16
D071,P056,500,Credit Card,2026-01-10
D072,P010,5000,UPI,2026-01-23
D073,P017,100,Cash,2026-01-15
D074,P067,5000,Credit Card,2026-01-15
D075,P018,500,Debit Card,2026-01-20
D076,P062,500,Debit Card,2026-01-28
D077,P040,1000,Debit Card,2026-01-13
D078,P002,500,Debit Card,2026-01-17
D079,P021,10000,Debit Card,2026-01-08
D080,P058,5000,UPI,2026-01-09
