order_id,pilgrim_id,prasadam_type,quantity,amount
O001,P003,Laddu,8,400
O002,P010,Laddu,6,300
O003,P074,Laddu,7,350
O004,P074,Laddu,7,350
O005,P091,Laddu,7,350
O006,P038,Laddu,2,100
O007,P052,Laddu,1,50
O008,P042,Laddu,3,150
O009,P080,Laddu,8,400
O010,P089,Pulihora,6,300
O011,P012,Laddu,7,350
O012,P014,Laddu,4,200
O013,P056,Laddu,10,500
O014,P052,Laddu,9,450
O015,P011,Laddu,7,350
O016,P040,Laddu,6,300
O017,P029,Laddu,6,300
O018,P100,Laddu,3,150
O019,P010,Laddu,9,450
O020,P082,Pulihora,2,100
O021,P068,Laddu,9,450
O022,P025,Laddu,6,300
O023,P045,Laddu,3,150
O024,P031,Laddu,2,100
O025,P019,Laddu,5,250
O026,P026,Laddu,3,150
O027,P078,Laddu,3,150
O028,P098,Laddu,2,100
O029,P023,Laddu,8,400
O030,P060,Laddu,10,500
O031,P098,Laddu,10,500
O032,P058,Laddu,10,500
O033,P083,Laddu,10,500
O034,P042,Laddu,6,300
O035,P020,Laddu,8,400
O036,P009,Laddu,8,400
O037,P057,Laddu,5,250
O038,P036,Laddu,10,500
O039,P008,Laddu,6,300
O040,P065,Laddu,2,100
O041,P040,Laddu,8,400
O042,P058,Laddu,1,50
O043,P008,Laddu,6,300
O044,P037,Laddu,2,100
O045,P083,Laddu,2,100
O046,P079,Laddu,10,500
O047,P065,Laddu,7,350
O048,P060,Laddu,10,500
O049,P071,Laddu,1,50
O050,P058,Laddu,10,500
O051,P084,Laddu,4,200
O052,P042,Laddu,10,500
O053,P061,Laddu,9,450
O054,P020,Laddu,1,50
O055,P058,Laddu,2,100
O056,P044,Laddu,2,100
O057,P065,Laddu,3,150
O058,P006,Laddu,4,200
O059,P091,Laddu,8,400
O060,P057,Laddu,9,450
O061,P067,Laddu,10,500
O062,P021,Laddu,6,300
O063,P048,Laddu,5,250
O064,P050,Laddu,7,350
O065,P100,Pulihora,6,300
O066,P087,Laddu,10,500
O067,P007,Laddu,6,300
O068,P009,Laddu,6,300
O069,P013,Laddu,9,450
O070,P087,Laddu,7,350
O071,P037,Laddu,5,250
O072,P093,Laddu,10,500
O073,P020,Laddu,6,300
O074,P011,Laddu,10,500
O075,P085,Laddu,3,150
O076,P045,Laddu,5,250
O077,P084,Laddu,7,350
O078,P017,Laddu,10,500
O079,P091,Laddu,2,100
O080,P040,Laddu,9,450
O081,P049,Laddu,6,300
O082,P017,Laddu,9,450
O083,P012,Laddu,7,350
O084,P066,Laddu,6,300
O085,P003,Laddu,6,300
O086,P040,Laddu,3,150
O087,P028,Laddu,6,300
O088,P099,Laddu,8,400
O089,P025,Laddu,4,200
O090,P018,Laddu,3,150
O091,P010,Laddu,5,250
O092,P013,Laddu,9,450
O093,P099,Laddu,9,450
O094,P095,Laddu,9,450
O095,P005,Laddu,6,300
O096,P099,Laddu,10,500
O097,P017,Laddu,10,500
O098,P049,Laddu,3,150
O099,P021,Laddu,3,150
O100,P089,Laddu,10,500
O101,P022,Laddu,8,400
O102,P006,Laddu,7,350
O103,P047,Laddu,4,200
O104,P057,Laddu,10,500
O105,P037,Laddu,8,400
O106,P030,Laddu,9,450
O107,P031,Laddu,5,250
O108,P061,Laddu,4,200
O109,P048,Laddu,10,500
O110,P057,Laddu,8,400
O111,P099,Laddu,5,250
O112,P100,Laddu,7,350
O113,P065,Laddu,9,450
O114,P054,Pulihora,3,150
O115,P026,Laddu,10,500
O116,P018,Laddu,5,250
O117,P007,Laddu,8,400
O118,P048,Laddu,9,450
O119,P014,Laddu,9,450
O120,P016,Laddu,5,250
O121,P011,Laddu,3,150
O122,P035,Laddu,8,400
O123,P066,Laddu,3,150
O124,P056,Laddu,2,100
O125,P029,Laddu,8,400
O126,P045,Pulihora,1,50
O127,P054,Pulihora,1,50
O128,P051,Laddu,9,450
O129,P048,Laddu,4,200
O130,P050,Laddu,2,100
O131,P048,Pulihora,4,200
O132,P004,Laddu,6,300
O133,P013,Laddu,6,300
O134,P019,Laddu,3,150
O135,P005,Laddu,5,250
O136,P061,Laddu,3,150
O137,P098,Laddu,8,400
O138,P058,Pulihora,10,500
O139,P001,Laddu,2,100
O140,P003,Laddu,5,250
O141,P028,Laddu,3,150
O142,P071,Laddu,10,500
O143,P068,Laddu,7,350
O144,P015,Laddu,5,250
O145,P031,Laddu,5,250
O146,P016,Laddu,1,50
O147,P031,Laddu,7,350
O148,P082,Laddu,10,500
O149,P059,Pulihora,2,100
O150,P015,Pulihora,8,400
