transport_id,pilgrim_id,transport_mode
T001,P001,Flight
T002,P002,Train
T003,P003,Train
T004,P004,APSRTC Bus
T005,P005,APSRTC Bus
T006,P006,Car
T007,P007,Flight
T008,P008,Walk
T009,P009,Flight
T010,P010,Train
T011,P011,Train
T012,P012,Car
T013,P013,Walk
T014,P014,Car
T015,P015,Train
T016,P016,Train
T017,P017,Flight
T018,P018,Car
T019,P019,Flight
T020,P020,Flight
T021,P021,Car
T022,P022,Flight
T023,P023,APSRTC Bus
T024,P024,APSRTC Bus
T025,P025,Flight
T026,P026,Walk
T027,P027,Flight
T028,P028,Train
T029,P029,Train
T030,P030,Walk
T031,P031,Car
T032,P032,APSRTC Bus
T033,P033,APSRTC Bus
T034,P034,Car
T035,P035,Flight
T036,P036,Walk
T037,P037,Flight
T038,P038,Car
T039,P039,Walk
T040,P040,APSRTC Bus
T041,P041,APSRTC Bus
T042,P042,Flight
T043,P043,Train
T044,P044,Car
T045,P045,Car
T046,P046,Flight
T047,P047,Car
T048,P048,APSRTC Bus
T049,P049,Flight
T050,P050,APSRTC Bus
T051,P051,Flight
T052,P052,Flight
T053,P053,Train
T054,P054,Car
T055,P055,Flight
T056,P056,Car
T057,P057,APSRTC Bus
T058,P058,Flight
T059,P059,Flight
T060,P060,Flight
T061,P061,Flight
T062,P062,Car
T063,P063,Flight
T064,P064,Car
T065,P065,APSRTC Bus
T066,P066,Train
T067,P067,APSRTC Bus
T068,P068,Flight
T069,P069,Car
T070,P070,Car
T071,P071,Car
T072,P072,Car
T073,P073,Train
T074,P074,Train
T075,P075,Train
T076,P076,Car
T077,P077,Flight
T078,P078,Car
T079,P079,APSRTC Bus
T080,P080,APSRTC Bus
T081,P081,APSRTC Bus
T082,P082,Train
T083,P083,Car
T084,P084,Flight
T085,P085,Car
T086,P086,Flight
T087,P087,Train
T088,P088,Train
T089,P089,Train
T090,P090,Train
T091,P091,Car
T092,P092,Car
T093,P093,Car
T094,P094,Train
T095,P095,Flight
T096,P096,Car
T097,P097,Car
T098,P098,Train
T099,P099,Car
T100,P100,Train
